"NameZH	",NameEN,Area,Population,Density
浦东,Pudong New Area ,,,
闵行,Minhang District,,,
徐汇,Xuhui District,,,
宝山,Baoshan District,,,
普陀,Putuo District,,,
长宁,Changning District,,,
杨浦,Yangpu District,,,
松江,Songjiang District,,,
嘉定,Jiading District,,,
虹口,Hongkou District,,,
静安,Jing'an District,,,
黄浦,Huangpu District,,,
青浦,Qingpu District,,,
奉贤,Fengxian District,,,
金山,Jinshan District,,,
崇明,Chongming County,,,
